attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition
erosionDegree,M,,M,Moderat,Moderate Clear evidence of removal of surface horizons. Original biotic functions partly destroyed.,,,False,table 18
erosionDegree,S,,S,Slight,Slight Some evidence of damage to surface horizons. Original biotic functions largely intact.,,,False,table 18
erosionDegree,V,,V,Sever,Severe Surface horizons completely removed and subsurface horizons exposed. Original biotic functions largely destroyed.,,,False,table 18
erosionDegree,E,,E,Extrem,Extreme Substantial removal of deeper subsurface horizons (badlands). Original biotic functions fully destroyed.,,,False,table 18
silt,SWDF2,,SWDF2,SiltWaterDispersibleFraction02,,,,True,
silt,SSFT,,SSFT,SiltSizeFractionTotal,,,,True,
silt,SSF1,,SSF1,SiltSizeFraction01,,,,True,
silt,SWDF1,,SWDF1,SiltWaterDispersibleFraction01,,,,True,
silt,SSF3,,SSF3,SiltSizeFraction03,,,,True,
silt,SWDFT,,SWDFT,SiltWaterDispersibleFractionTotal,,,,True,
silt,SSF2,,SSF2,SiltSizeFraction02,,,,True,
erosionCategory,AM,A,AM,Wind erosion and depositio,,,,False,table 16
erosionCategory,WR,W,WR,Rill erosio,,,,False,table 16
erosionCategory,N,,N,No evidence of erosio,,,,False,table 16
erosionCategory,M,,N,Mass movement,,,,False,table 16
erosionCategory,AZ,A,AZ,Salt depositio,,,,False,table 16
erosionCategory,WA,W,WA,Water and wind erosio,,,,False,table 16
erosionCategory,W,,W,Water erosion or depositio,,,,False,table 16
erosionCategory,AS,A,AS,Shifting sands,,,,False,table 16
erosionCategory,WS,W,WS,Sheet erosio,,,,False,table 16
erosionCategory,WD,W,WD,Deposition by water,,,,False,table 16
erosionCategory,NK,,N,Not know,,,,False,table 16
erosionCategory,AD,A,AD,Wind depositio,,,,False,table 16
erosionCategory,A,,A,Wind (aeolian) erosion or depositio,,,,False,table 16
erosionCategory,WT,W,WT,Tunnel erosio,,,,False,table 16
erosionCategory,WG,W,WG,Gully erosio,,,,False,table 16
biologicalAbundance,M,,M,Many,,,,False,table 81
biologicalAbundance,C,,C,Commo,,,,False,table 81
biologicalAbundance,N,,N,No,,,,False,table 81
biologicalAbundance,F,,F,Few,,,,False,table 81
consistenceDry,SHA,,SHA,Slightly hard,Weakly resistant to pressure; easily broken between thumb and forefinger.,,,False,table 53
consistenceDry,SSH,,SSH,soft to slightly hard,soft to slightly hard,,,False,table 53
consistenceDry,VHA,,VHA,Very hard,Very hard Very resistant to pressure; can be broken in the hands only with difficulty.,,,False,table 53
consistenceDry,SO,,SO,Soft,Soil mass is very weakly coherent and fragile; breaks to powder or individual grains under very slight pressure.,,,False,table 53
consistenceDry,LO,,LO,Loos,Non-coherent.,,,False,table 53
consistenceDry,SHH,,SHH,slightly hard to hard,slightly hard to hard,,,False,table 53
consistenceDry,HA,,HA,Hard,Moderately resistant to pressure; can be broken in the hands; not breakable between thumb and forefinger.,,,False,table 53
consistenceDry,EHA,,EHA,Extremely hard,Extremely resistant to pressure; cannot be broken in the hands.,,,False,table 53
consistenceDry,HVH,,HVH,hard to very hard,hard to very hard,,,False,table 53
rockOutcropsDistance,1,,1,> 50,,,,False,"table 14,2"
rockOutcropsDistance,3,,3,5–20,,,,False,"table 14,2"
rockOutcropsDistance,2,,2,20–50,,,,False,"table 14,2"
rockOutcropsDistance,4,,4,2–5,,,,False,"table 14,2"
rockOutcropsDistance,5,,5,< 2,,,,False,"table 14,2"
mineralConcColour,BR,,BR,Brow,,,,False,table 78
mineralConcColour,BU,,BU,Blu,,,,False,table 78
mineralConcColour,YR,,YR,Yellowish red,,,,False,table 78
mineralConcColour,MC,,MC,Multicoloured,,,,False,table 78
mineralConcColour,RY,,RY,Reddish yellow,,,,False,table 78
mineralConcColour,BS,,BS,Brownish,,,,False,table 78
mineralConcColour,BB,,BB,Bluish-black,,,,False,table 78
mineralConcColour,BL,,BL,Black,,,,False,table 78
mineralConcColour,RE,,RE,Red,,,,False,table 78
mineralConcColour,RB,,RB,Reddish brow,,,,False,table 78
mineralConcColour,YB,,YB,Yellowish brow,,,,False,table 78
mineralConcColour,GS,,GS,Greyish,,,,False,table 78
mineralConcColour,GE,,GE,Greenish,,,,False,table 78
mineralConcColour,YE,,YE,Yellow,,,,False,table 78
mineralConcColour,RS,,RS,Reddish,,,,False,table 78
mineralConcColour,WH,,WH,Whit,,,,False,table 78
mineralConcColour,GR,,GR,Grey,,,,False,table 78
erosionTotalAreaAffected,4,,4,25–50,,,,False,table 17
erosionTotalAreaAffected,0,,0,0,,,,False,table 17
erosionTotalAreaAffected,5,,5,> 50,,,,False,table 17
erosionTotalAreaAffected,3,,3,10–25,,,,False,table 17
erosionTotalAreaAffected,1,,1,0–5,,,,False,table 17
erosionTotalAreaAffected,2,,2,5–10,,,,False,table 17
coatingContrast,F,,F,Faint,"Surface of coating shows only little contrast in colour, smoothness or any other property to the adjacent surface. Fine sand grains are readily apparent in the cutan. Lamellae are less than 2 mm thick.",,,False,table 66
coatingContrast,P,,P,Prominent,Surface of coatings contrasts strongly in smoothness or colour with the adjacent surfaces. Outlines of fine sand grains are not visible. Lamellae are more than 5 mm thick.,,,False,table 66
coatingContrast,D,,D,Distinct,Surface of coating is distinctly smoother or different in colour from the adjacent surface. Fine sand grains are enveloped in the coating but their outlines are still visible. Lamellae are 2–5 mm thick.,,,False,table 66
gypsumForms,SC,,SC,soft concretions,,,,False,table 41
gypsumForms,HL,,HL,hard cemented layer or layers of gypsum (less than 10 cm thick),,,,False,table 41
gypsumForms,G,,G,“gazha” (clayey water-saturated layer with high gypsum content),,,,False,table 41
gypsumForms,D,,D,disperse powdery gypsum,,,,False,table 41
lithology,SC,S,SC,clastic sediments,,,,False,table 12
lithology,UF1,UF,UF1,sand and gravel,,,,False,table 12
lithology,IA2,IA,IA2,grano-diorit,,,,False,table 12
lithology,IB3,IB,IB3,dolerit,,,,False,table 12
lithology,IU,I,IU,ultrabasic igneous,,,,False,table 12
lithology,UU4,UU,UU4,gravelly sand,,,,False,table 12
lithology,UG3,UG,UG3,UG3 glacio-fluvial gravel,,,,False,table 12
lithology,UG1,UG,UG1,morai,,,,False,table 12
lithology,IP2,IP,IP2,volcanic scoria/breccia,,,,False,table 12
lithology,UF,U,UF,fluvial,,,,False,table 12
lithology,UO,U,UO,organic,,,,False,table 12
lithology,SC2,SC,SC2,"sandstone, greywacke, arkos",,,,False,table 12
lithology,MB4,MB,MB4,metamorphic limestone (marble),,,,False,table 12
lithology,IP3,IP,IP3,volcanic ash,,,,False,table 12
lithology,UO1,UO,UO1,rainwater-fed moor peat,,,,False,table 12
lithology,UG,U,UG,glacial,,,,False,table 12
lithology,II2,II,II2,diorite-syenit,,,,False,table 12
lithology,IB2,IB,IB2,basalt,,,,False,table 12
lithology,UA2,UA,UA2,industrial/artisanal deposits,,,,False,table 12
lithology,UL2,UL,UL2,silt and clay,,,,False,table 12
lithology,UC2,UC,UC2,lahar,,,,False,table 12
lithology,UE2,UE,UE2,sand,,,,False,table 12
lithology,UG2,UG,UG2,UG2 glacio-fluvial sand,,,,False,table 12
lithology,SE,S,SE,vaporites,,,,False,table 12
lithology,UA,U,UA,anthropogenic/technogenic,,,,False,table 12
lithology,MA,M,MA,acid metamorphic,,,,False,table 12
lithology,UE,U,UE,olia,,,,False,table 12
lithology,UK,U,UK,kryogenic,,,,False,table 12
lithology,SC4,SC,SC4,shal,,,,False,table 12
lithology,SC1,SC,SC1,"conglomerate, breccia",,,,False,table 12
lithology,IP,I,IP,pyroclastic,,,,False,table 12
lithology,IU3,IU,IU3,"ilmenite, magnetite, ironstone, serpenti",,,,False,table 12
lithology,II,I,II,intermediate igneous,,,,False,table 12
lithology,M,,M,metamorphic rock,,,,False,table 12
lithology,MA1,MA,MA1,quartzit,,,,False,table 12
lithology,UM2,UM,UM2,clay and silt,,,,False,table 12
lithology,UC1,UC,UC1,slope deposits,,,,False,table 12
lithology,UU1,UU,UU1,clay,,,,False,table 12
lithology,IA1,IA,IA1,diorit,,,,False,table 12
lithology,UL1,UL,UL1,sand,,,,False,table 12
lithology,UU2,UU,UU2,loam and silt,,,,False,table 12
lithology,UA1,UA,UA1,redeposited natural material,,,,False,table 12
lithology,II1,II,II1,"andesite, trachyte, phonolit",,,,False,table 12
lithology,S,,S,sedimentary rock (consolidated),,,,False,table 12
lithology,SC3,SC,SC3,"silt-, mud-, claysto",,,,False,table 12
lithology,UM1,UM,UM1,sand,,,,False,table 12
lithology,MU,M,MU,ultrabasic metamorphic,,,,False,table 12
lithology,UC,U,UC,colluvial,,,,False,table 12
